,geo,time_period,dieseloil_priceper100litres_euros,electricity_priceper100kwh_euros,feed_bulk_chicks_priceper100kg_euros,feed_bulk_fatteningpigs_priceper100kg_euros,feed_bulk_rearingpigs_priceper100kg_euros,feed_bulk_sows_priceper100kg_euros,feed_sacks_broilers_priceper100kg_euros,feed_sacks_chicks_priceper100kg_euros,feed_sacks_fatteningpigs_priceper100kg_euros,feed_sacks_rearingpigs_priceper100kg_euros,feed_sacks_sows_priceper100kg_euros,heatingoil_priceper100litres_euros,motorspirit_priceper100litres_euros,residualfueloil_priceper100kg_euros
0,AT,2011,110.98,16.34,,,,,,,,,,77.0,,
1,AT,2012,117.56,16.5,,,,,,,,,,83.34,,
2,AT,2013,117.56,17.26,,,,,,,,,,83.34,,
3,AT,2014,108.17,17.29,,,,,,,,,,73.25,,
4,AT,2015,93.5,16.47,,,,,,,,,,59.6,,
5,AT,2016,85.9,16.56,,,,,,,,,,51.0,,
6,AT,2017,92.1,15.15,,,,,,,,,,57.2,,
7,AT,2018,101.9,15.4,,,,,,,,,,67.0,,
8,AT,2019,100.5,15.81,,,,,,,,,,66.0,,
9,AT,2020,87.5,16.72,,,,,,,,,,50.7,,
10,BE,2011,66.88,14.07,,,,,31.28,33.34,26.73,32.46,28.06,,66.88,55.14
11,BE,2012,73.75,14.34,,,,,34.22,36.11,29.38,35.34,30.24,,73.75,61.75
12,BE,2013,69.84,14.23,,,,,36.16,37.46,29.81,36.29,30.83,,69.84,56.26
13,BE,2014,64.5,12.8,,,,,31.8,28.74,24.11,31.49,24.94,,64.5,52.06
14,BE,2015,47.56,14.31,,,,,30.06,27.85,23.43,29.71,23.96,,47.56,38.64
15,BE,2016,40.05,18.36,,,,,28.96,26.62,22.3,27.89,23.01,,40.05,36.44
16,BE,2017,48.39,19.81,,,,,29.21,26.49,22.9,29.75,23.63,,48.39,47.61
17,BE,2018,57.76,20.25,,,,,30.06,27.64,24.34,31.96,25.35,,57.76,56.92
18,BE,2019,57.13,20.58,,,,,36.38,30.8,24.41,31.49,25.93,,57.33,57.36
19,BE,2020,43.74,19.26,,,,,37.73,31.81,25.21,32.08,26.8,,43.26,41.67
20,BG,2011,125.27,9.2,31.49,26.22,27.5,27.54,35.04,36.55,27.61,41.21,28.26,123.22,122.71,
21,BG,2012,133.96,9.87,33.47,27.46,42.73,28.61,37.47,36.98,35.71,54.96,38.05,132.43,132.43,
22,BG,2013,133.45,9.82,35.62,25.81,44.1,27.81,39.55,38.54,34.67,49.9,48.24,130.89,131.4,
23,BG,2014,128.34,9.71,33.4,23.68,43.86,26.46,35.18,34.53,51.25,66.65,64.89,125.78,126.8,
24,BG,2015,129.87,9.2,32.18,28.12,44.1,22.7,33.22,37.79,26.05,19.83,25.07,127.82,128.34,
25,BG,2016,95.61,10.27,33.45,24.01,83.24,25.48,32.33,34.27,24.93,61.17,28.12,93.57,97.66,
26,BG,2017,103.28,10.89,29.91,26.07,71.9,25.06,33.78,31.69,26.69,52.07,22.97,100.73,103.79,
27,BG,2018,114.53,11.1,31.75,25.38,64.61,24.88,34.1,33.68,28.41,54.21,23.73,111.97,111.46,
28,BG,2019,115.55,11.38,31.52,27.19,62.68,26.05,34.36,33.37,34.36,54.52,24.44,113.51,110.44,
29,BG,2020,97.15,12.18,31.29,25.81,47.35,23.78,34.43,33.93,30.99,53.25,23.27,130.38,95.61,
30,CY,2011,87.0,12.2,,,,,,,,31.3,,83.9,35.6,
31,CY,2012,89.2,20.9,,,,,,,,30.0,,95.2,60.9,
32,CY,2013,90.6,22.6,,,,,,,,49.9,,104.2,62.7,
33,CY,2014,86.5,18.2,,,,,,,,53.0,,99.5,63.5,
34,CY,2015,67.7,15.0,,,,,,,,34.4,,81.5,68.0,
35,CY,2016,57.8,12.0,,,,,,,,57.1,,69.6,58.1,
36,CY,2017,66.0,13.5,,,,,,,,30.2,,79.1,64.2,
37,CY,2018,77.3,15.82,,,,,,,,41.17,,88.6,62.31,
38,CY,2019,76.54,16.99,,,,,,,,43.84,,82.97,61.51,
39,CY,2020,61.46,14.13,,,,,,,,43.35,,68.22,60.92,
40,CZ,2011,139.35,11.37,,,,,34.16,,22.86,23.57,21.79,65.18,140.72,
41,CZ,2012,144.96,11.14,,,,,34.15,,24.82,25.25,23.13,71.18,145.92,
42,CZ,2013,139.1,11.1,,,,,35.26,,27.63,27.34,24.69,67.01,139.26,
43,CZ,2014,133.73,9.16,,,,,31.07,,23.07,24.05,21.2,61.27,131.2,
44,CZ,2015,114.36,8.7,,,,,30.55,,22.28,23.57,20.45,46.43,114.93,
45,CZ,2016,101.28,7.98,,,,,29.61,,21.75,22.98,19.41,37.17,105.78,
46,CZ,2017,112.05,7.75,,,,,,,,,,44.39,115.14,
47,CZ,2018,123.07,8.06,,,,,,,,,,53.32,125.0,
48,CZ,2019,123.42,9.18,,,,,,,,,,52.78,122.1,
49,CZ,2020,105.71,9.64,,,,,,,,,,37.82,106.5,
219,PT,2020,70.82,,,,,,46.79,51.49,45.74,53.98,39.24,128.72,114.52,
220,RO,2011,90.31,,39.63,27.36,33.73,26.66,40.46,44.35,37.51,43.41,35.62,57.55,125.73,45.45
221,RO,2012,98.36,,41.93,30.5,41.04,29.6,39.36,44.85,36.1,47.32,37.0,60.96,130.5,52.49
222,RO,2013,113.06,,42.77,32.59,39.83,35.53,45.03,50.01,39.15,48.88,44.13,68.43,130.63,56.43
223,RO,2014,99.71,,40.51,31.73,38.93,36.46,41.86,44.78,36.68,46.36,47.03,93.22,134.72,43.83
224,RO,2015,89.81,,45.22,31.04,39.37,30.37,40.27,44.09,34.64,40.27,38.92,99.48,120.48,30.5
225,RO,2016,100.26,,43.65,32.96,38.08,29.62,39.53,40.98,31.85,40.53,33.85,87.56,109.33,25.27
226,RO,2017,103.13,,38.08,32.39,36.11,30.86,36.66,42.9,34.36,40.05,32.83,86.24,106.25,36.02
227,RO,2018,84.51,,31.37,24.28,29.44,24.92,34.92,44.91,33.52,37.17,30.08,65.77,118.21,24.83
228,RO,2019,81.15,,33.51,37.09,28.87,25.29,35.3,57.53,41.51,47.42,35.19,62.39,116.99,34.65
229,RO,2020,66.04,,41.34,26.04,27.9,23.77,37.31,42.37,32.66,36.17,32.86,52.64,95.66,36.62
230,SE,2011,114.07,,,,,,,,,,,,,
231,SE,2012,124.42,,,,,,,,,,,,,
232,SE,2013,122.06,,,,,,,,,,,,,
233,SE,2014,115.52,,,,,,,,,,,,,
234,SE,2015,101.14,,,,,,,,,,,,,
235,SE,2016,97.9,,,,,,,,,,,,,
236,SE,2017,104.83,,,,,,,,,,,,,
237,SE,2018,110.35,,,,,,,,,,,,,
238,SE,2019,110.59,,,,,,,,,,,,,
239,SE,2020,100.53,,,,,,,,,,,,,
240,SI,2011,103.6,11.28,,,,,44.25,45.49,33.06,52.64,34.59,75.9,107.5,
241,SI,2012,113.3,11.84,,,,,44.83,47.35,34.47,54.12,38.21,84.8,122.8,
242,SI,2013,114.0,11.74,,,,,48.09,50.84,37.29,57.92,42.29,83.3,123.0,
243,SI,2014,110.9,11.39,,,,,44.29,46.24,33.32,55.5,38.35,83.0,119.0,
244,SI,2015,96.7,11.34,,,,,40.48,42.4,31.28,53.16,36.07,69.6,105.6,
245,SI,2016,88.1,11.33,,,,,41.27,42.7,30.55,52.04,34.98,60.0,97.9,
246,SI,2017,96.6,11.39,,,,,41.21,42.65,29.69,51.39,33.8,68.2,104.2,
247,SI,2018,104.9,11.55,,,,,42.68,43.35,30.38,52.88,34.28,79.1,108.4,
248,SI,2019,102.5,11.64,,,,,42.22,43.04,30.91,53.11,35.05,80.4,105.4,
249,SI,2020,87.2,11.82,,,,,41.58,43.54,30.88,52.84,35.09,68.1,87.6,
250,SK,2011,,,,24.52,27.36,25.81,,,,,,,,
251,SK,2012,,,,28.4,28.8,28.2,,,,,,,,
252,SK,2013,,,,30.6,31.8,30.5,,,,,,,,
253,SK,2014,,,,26.5,29.4,28.7,,,,,,,,
254,SK,2015,,,,21.6,27.3,26.1,,,,,,,,
255,SK,2016,,,,22.7,25.9,25.9,,,,,,,,
256,SK,2017,,,,23.1,25.3,24.2,,,,,,,,
257,SK,2018,,,,24.2,26.4,26.0,,,,,,,,
258,SK,2019,,,,23.4,26.1,25.8,,,,,,,,
259,SK,2020,,,,23.4,25.3,25.5,,,,,,,,
260,UK,2011,79.02,,,,,,,,,,,,143.42,
261,UK,2012,88.03,,,,,,,,,,,,145.76,
262,UK,2013,82.67,,,,,,,,,,,,137.61,
263,UK,2014,79.9,,,,,,,,,,,,137.92,
264,UK,2015,67.48,,,,,,,,,,,,131.94,
265,UK,2016,54.86,,,,,,,,,,,,111.99,
266,UK,2017,60.81,,,,,,,,,,,,114.2,
267,UK,2018,69.54,,,,,,,,,,,,122.44,
268,UK,2019,71.49,,,,,,,,,,,,124.82,
