,country,year,commodity,area_harvested_hectares_thousands,area_harvested_nan_units,biodiesel_production_from_commodity_litres_millions,biodiesel_production_from_commodity_nan_units,biofuel_use_tonnes_thousands,biofuel_use_nan_units,consumption_litres_millions,consumption_tonnes_thousands,consumption_nan_units,cow_inventory_number_thousands,crush_tonnes_thousands,direct_ghg_emission_tonnes_of_co2_equivalent_millions,direct_ghg_emission_nan_units,ending_stocks_litres_millions,ending_stocks_tonnes_thousands,ending_stocks_nan_units,ethanol_production_from_commodity_litres_millions,ethanol_production_from_commodity_nan_units,exports_litres_millions,exports_tonnes_thousands,exports_nan_units,feed_tonnes_thousands,feed_nan_units,food_fat_availability_g_person_day_units,food_fat_availability_nan_units,food_protein_availability_g_person_day_units,food_protein_availability_nan_units,food_tonnes_thousands,food_nan_units,human_consumption_per_capita_kilograms_per_capita_units,human_consumption_per_capita_nan_units,imports_litres_millions,imports_tonnes_thousands,imports_nan_units,other_use_tonnes_thousands,other_use_nan_units,producer_price_national_currency_per_hectolitre_units,producer_price_national_currency_per_tonne_units,producer_price_nan_units,production_litres_millions,production_tonnes_thousands,production_nan_units,total_calorie_availability_kcal_person_day_units,total_calorie_availability_nan_units,trade_balance_litres_millions,trade_balance_tonnes_thousands,trade_balance_nan_units,world_price_us_dollar_per_hectolitre_units,world_price_us_dollar_per_tonne_units,world_price_us_dollars_per_barrel_units,world_price_nan_units,yield_tonnes_per_animal_units,yield_tonnes_per_hectare_units
0,AFRICA,2010,Agricultural sector,,,,,,,,,,,,,816.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AFRICA,2010,Beef and veal,,,,0.0,0.0,,,6238.59,,0.0,,271.918,,,0.285,,,0.0,,246.311,,,0.0,2.369,,2.506,,6238.59,,4.245,,,548.022,,0.0,,,0.0,,,5936.881,,32.06,,,-301.7139,,,,,,0.021,
2,AFRICA,2010,Biodiesel,,,,,,,0.05,,,,,,,0.0,,,,,0.05,,,,,,,,,,,,,0.05,,,,,0.0,,,0.05,,,,,0.0,,,,,,,,
3,AFRICA,2010,Butter,,,,0.0,0.0,,,439.683,,,,2.832,,,0.0,,,0.0,,9.845,,,0.0,0.954,,0.011,,439.683,,0.427,,,142.642,,0.0,,,0.0,,,306.887,,8.354,,,-132.7971,,,,,,,
4,AFRICA,2010,COTTON,3365.322,,,0.0,0.0,,,343.355,,,,0.559,,,492.15,,,0.0,,885.874,,,0.0,0.0,,0.0,,,0.0,,0.0,,185.793,,0.0,,,0.0,,,1078.104,,0.0,,,700.0807,,,,,,,0.32
5,AFRICA,2010,Casein,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,
6,AFRICA,2010,Cheese,,,,0.0,0.0,,,1018.392,,,,4.65,,,0.0,,,0.0,,183.664,,,0.0,0.57,,0.289,,1018.392,,0.99,,,178.733,,0.0,,,0.0,,,1023.325,,7.107,,,4.9313,,,,,,,
7,AFRICA,2010,Distiller's dry grains,,,0.0,,0.0,,,154.431,,,,0.0,,,0.0,,0.0,,,0.036,,154.431,,0.0,,0.0,,,0.0,,0.0,,154.467,,0.0,,,0.0,,,0.0,,0.0,,,-154.4309,,,,,,,
8,AFRICA,2010,EGGS,,,,0.0,,0.0,,,2881.649,,,,3.198,,,0.005,,0.0,,,12.015,,0.0,,0.549,,0.655,,2361.872,,2.296,,,54.324,,0.0,,,0.0,,,2839.34,,7.896,,,-42.3091,,,,,,
9,AFRICA,2010,Ethanol,,,,,,,712.746,,,,,,,0.0,,,,,316.519,,,,,,,,,,,,,197.587,,,,,0.0,,,831.679,,,,,118.9325,,,,,,,,
10,AFRICA,2010,Fish,,,,0.0,0.0,,,11096.166,,,801.772,0.0,,,0.0,,,0.0,,1936.599,,0.0,,0.672,,2.951,,10204.855,,8.73,,,4147.076,,89.539,,,0.0,,,9071.994,,18.463,,,-2210.4773,,,,,,,
11,AFRICA,2010,Fish from aquaculture,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,1285.979,,0.0,,,0.0,,,,,,,
12,AFRICA,2010,Fish from capture,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,7786.015,,0.0,,,0.0,,,,,,,
13,AFRICA,2010,Fish meal,,,,0.0,0.0,,,216.485,,,,0.0,,,123.0,,,0.0,,188.43,,216.486,,0.0,,0.0,,0.0,,0.0,,,136.292,,0.0,,,0.0,,,276.623,,0.0,,,7.107,,,,,,,
14,AFRICA,2010,Fish oil,,,,0.0,0.0,,,9.433,,,,0.0,,,3.0,,,0.0,,51.279,,0.0,,0.0,,0.0,,0.0,,0.0,,,2.249,,0.0,,,0.0,,,59.373,,0.0,,,0.0,,,,,,,
15,AFRICA,2010,Fresh dairy products,,,,0.0,0.0,,,36617.405,,,,87.398,,,0.0,,,0.0,,0.0,,0.0,,3.231,,3.149,,36617.405,,35.598,,,0.0,,0.0,,,0.0,,,36617.405,,58.407,,,0.0,,,,,,,
16,AFRICA,2010,High fructose corn syrup,,,0.0,,0.0,,,192.954,,,,0.0,,,0.005,,0.0,,,1.752,,0.0,,0.0,,0.001,,192.954,,0.188,,,31.701,,0.0,,,0.0,,,163.005,,4.341,,,-29.9507,,,,,,,
17,AFRICA,2010,Maize,33061.924,,,0.0,18.98,,,74073.006,,,,11.071,,,10916.927,,7.652,,,6162.633,,24228.401,,3.649,,9.681,,41379.296,,40.227,,,14626.724,,8174.655,,,0.0,,,65279.316,,377.833,,,-8464.0908,,,,,,,1.975
18,AFRICA,2010,Milk,,,,0.0,0.0,,,0.0,,214565.736,,95.127,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,47063.773,,0.0,,,0.0,,,,,,0.219,
19,AFRICA,2010,Molasses,,,0.0,,0.0,,,4640.606,,,,0.0,,,1756.679,,216.412,,,782.569,,2636.13,,0.0,,0.0,,0.0,,0.0,,,1875.612,,0.0,,,0.0,,,3547.515,,0.0,,,-1093.0426,,,,,,,
20,AFRICA,2010,Other coarse grains,63995.681,,0.0,,18.98,,,53539.251,,,,6.302,,,16114.594,,7.652,,,1579.141,,11107.129,,2.534,,8.086,,33874.384,,32.931,,,2248.345,,8538.757,,,0.0,,,55270.081,,293.237,,,-669.2038,,,,,,,0.864
21,AFRICA,2010,Other oilseeds,12767.963,,0.0,,0.0,,,8449.582,,,5035.91,0.816,,,108.913,,0.0,,,193.414,,0.0,,3.614,,1.794,,3332.05,,3.239,,,287.259,,81.624,,,0.0,,,8232.633,,43.935,,,-93.8448,,,,,,,0.645
22,AFRICA,2010,PULSES,,23016.573,,0.0,,0.0,,15887.263,,,,0.78,,,2130.01,,,0.0,,679.139,,1780.049,,0.537,,7.014,,11137.094,,10.827,,,1478.921,,2970.124,,,0.0,,,15935.805,,106.235,,,-799.7838,,,,,,,0.692
23,AFRICA,2010,Pigmeat,,,,0.0,0.0,,,1250.35,,,,8.698,,,0.005,,,0.0,,21.006,,,0.0,1.337,,0.429,,1250.35,,0.948,,,156.375,,0.0,,,0.0,,,1114.976,,13.885,,,-135.3744,,,,,,,
24,AFRICA,2010,Poultry meat,,,,0.0,0.0,,,,5829.195,,,6.018,,,0.005,,,0.0,,,151.578,,0.0,1.266,,1.968,,5829.195,,4.987,,,1242.022,,0.0,,,0.0,,,4738.747,,19.838,,,-1090.4482,,,,,,,
25,AFRICA,2010,Protein meals,,,0.0,,0.0,,,9654.789,,,,0.0,,,270.014,,0.0,,,555.808,,9654.789,,0.0,,0.0,,,0.0,,0.0,,4064.105,,0.0,,,0.0,,,6184.49,,0.0,,,-3508.2974,,,,,,,
26,AFRICA,2010,ROOTS AND TUBERS,25107.751,,,0.0,270.062,,,62336.809,,,,1.345,,,3591.448,,,90.599,,127.932,,13817.643,,0.539,,3.912,,35615.72,,34.624,,,232.115,,12633.384,,,0.0,,,64103.661,,332.527,,,-104.183,,,,,,,2.553
27,AFRICA,2010,Raw sugar,,,0.0,,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,,1408.971,,0.0,,0.0,,0.0,,0.0,,0.0,,,4725.003,,0.0,,,0.0,,,0.0,,0.0,,,-3316.0315,,,,,,,
28,AFRICA,2010,Rice,10739.829,,0.0,,0.0,,,27288.844,,,,30.024,,,3129.989,,0.0,,,246.608,,68.005,,0.492,,4.64,,23168.189,,22.523,,,10579.917,,4052.65,,,0.0,,,17312.594,,232.873,,,-10333.3089,,,,,,,1.612
29,AFRICA,2010,Sheepmeat,,,,0.0,0.0,,,2937.735,,,,137.424,,,0.005,,,0.0,,111.814,,,0.0,1.014,,1.064,,2937.735,,2.513,,,68.283,,0.0,,,0.0,,,2981.263,,13.751,,,43.5282,,,,,,,
30,AFRICA,2010,Skim milk powder,,,,0.0,0.0,,,253.956,,,,0.064,,,0.0,,,0.0,,6.011,,0.007,,0.004,,0.211,,253.956,,0.247,,,251.755,,0.0,,,0.0,,,8.215,,2.101,,,-245.7445,,,,,,,
31,AFRICA,2010,Soybean,1539.357,,0.0,,0.0,,,3975.681,,,3338.985,0.277,,,314.004,,0.0,,,141.578,,0.0,,0.353,,0.7,,619.906,,0.603,,,2318.936,,16.792,,,0.0,,,1798.32,,7.352,,,-2177.3576,,,,,,,1.168
32,AFRICA,2010,Sugar,,,0.0,,0.0,,,15353.455,,,,0.0,,,8904.001,,0.0,,,3594.552,,0.0,,0.0,,0.0,,15353.455,,14.926,,,9521.673,,0.0,,,0.0,,,9152.333,,142.913,,,-5927.1212,,,,,,,
33,AFRICA,2010,Sugar beet,178.018,,0.0,,0.0,,,0.0,,,,0.192,,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,10280.119,,0.0,,,0.0,,,,,,,57.748
34,AFRICA,2010,Sugar cane,1402.426,,0.0,,181.486,,,0.0,,,,0.829,,,0.0,,14.96,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,89171.128,,0.0,,,0.0,,,,,,,63.584
35,AFRICA,2010,Total ,,,,,,,,,,,,,,,,,,,,,,,,,53.685,,67.135,,,,,,,,,,,,,,,,,2560.105,,,,,,,,,
36,AFRICA,2010,Vegetable oils,,,0.004,,0.004,,,12620.405,,,,0.0,,,587.024,,0.0,,,1397.23,,0.0,,23.467,,0.01,,8187.423,,7.96,,,8040.991,,4432.979,,,0.0,,,6061.637,,207.234,,,-6643.7607,,,,,,,
37,AFRICA,2010,Wheat,9271.605,,0.0,,1.805,,,59809.761,,,,5.104,,,12807.0,,0.66,,,1364.148,,3183.946,,1.589,,11.005,,51980.363,,50.533,,,39798.241,,4643.646,,,0.0,,,21255.17,,366.858,,,-38434.0939,,,,,,,2.293
38,AFRICA,2010,Whey powder,,,,0.0,0.0,,,15.979,,,,0.0,,,0.0,,,0.0,,22.87,,15.979,,0.0,,0.0,,0.0,,0.0,,,35.018,,0.0,,,0.0,,,3.832,,0.0,,,-12.1474,,,,,,,
39,AFRICA,2010,White sugar,,,0.0,,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,,2185.58,,0.0,,0.0,,0.0,,0.0,,0.0,,,4796.67,,0.0,,,0.0,,,0.0,,0.0,,,-2611.0897,,,,,,,
40,AFRICA,2010,Whole milk powder,,,,0.0,0.0,,,510.992,,,,0.183,,,0.0,,,0.0,,12.294,,,0.0,0.279,,0.291,,510.992,,0.497,,,504.169,,0.0,,,0.0,,,19.12,,5.295,,,-491.8754,,,,,,,
41,AFRICA,2011,Agricultural sector,,,,,,,,,,,,,836.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,AFRICA,2011,Beef and veal,,,,0.0,0.0,,,6384.026,,0.0,,277.747,,,0.352,,,0.0,,225.393,,,0.0,2.354,,2.494,,6384.026,,4.234,,,645.402,,0.0,,,0.0,,,5964.08,,31.901,,,-420.0127,,,,,,0.02,
43,AFRICA,2011,Biodiesel,,,,,,,0.05,,,,,,,0.0,,,,,0.05,,,,,,,,,,,,,0.05,,,,,0.0,,,0.05,,,,,0.0,,,,,,,,
44,AFRICA,2011,Butter,,,,0.0,0.0,,,486.384,,,,3.016,,,0.0,,,0.0,,8.386,,,0.0,0.982,,0.011,,486.384,,0.461,,,182.783,,0.0,,,0.0,,,311.987,,8.585,,,-174.3979,,,,,,,
45,AFRICA,2011,COTTON,4446.039,,,0.0,0.0,,,342.141,,,,0.578,,,794.368,,,0.0,,1075.974,,,0.0,0.0,,0.0,,,0.0,,0.0,,124.579,,0.0,,,0.0,,,1595.755,,0.0,,,951.3947,,,,,,,0.359
46,AFRICA,2011,Casein,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,
47,AFRICA,2011,Cheese,,,,0.0,0.0,,,977.259,,,,4.754,,,0.0,,,0.0,,207.902,,,0.0,0.556,,0.282,,977.259,,0.926,,,172.805,,0.0,,,0.0,,,1012.357,,6.975,,,35.0967,,,,,,,
48,AFRICA,2011,Distiller's dry grains,,,0.0,,0.0,,,170.29,,,,0.0,,,0.0,,0.0,,,2.551,,170.29,,0.0,,0.0,,,0.0,,0.0,,172.842,,0.0,,,0.0,,,0.0,,0.0,,,-170.2903,,,,,,,
49,AFRICA,2011,EGGS,,,,0.0,,0.0,,,3030.064,,,,3.283,,,0.005,,0.0,,,10.009,,0.0,,0.555,,0.663,,2485.45,,2.355,,,64.499,,0.0,,,0.0,,,2975.573,,7.948,,,-54.4911,,,,,,
23098,WORLD,2020,Sugar cane,24109.163,,0.0,,359376.876,,,0.0,,,,23.475,,,0.0,,28897.585,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,1756372.875,,0.0,,,0.0,,,0.0,,,,72.851
23099,WORLD,2020,Total ,,,,,,,,,,,,,,,,,,,,,,,,,84.866,,93.114,,,,,,,,,,,,,,,,,2910.308,,,,,,,,,
23100,WORLD,2020,Vegetable oils,,,34418.64,,31337.652,,,213293.883,,,,0.0,,,18356.998,,0.0,,,87613.267,,0.0,,33.321,,0.028,,142330.911,,18.357,,,86059.232,,39625.319,,,0.0,,,214902.314,,299.995,,,1554.0353,,,940.976,,,,
23101,WORLD,2020,Wheat,221966.772,,0.0,,8125.952,,,754611.56,,,,176.292,,,286988.887,,3186.606,,,188137.692,,146142.344,,2.555,,16.364,,524970.962,,67.708,,,185776.933,,75372.302,,,0.0,,,766823.164,,539.861,,,2360.7582,,,245.707,,,,3.455
23102,WORLD,2020,Whey powder,,,,0.0,0.0,,,3027.044,,,,2.812,,,0.0,,,0.0,,1979.5,,1183.75,,0.0,,0.003,,31.808,,0.004,,,1652.596,,1048.148,,,0.0,,,3353.948,,0.038,,,326.9042,,,873.077,,,,
23103,WORLD,2020,White sugar,,,0.0,,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,,23578.188,,0.0,,0.0,,0.0,,0.0,,0.0,,,22085.957,,0.0,,,0.0,,,0.0,,0.0,,,1492.2309,,,409.37,,,,
23104,WORLD,2020,Whole milk powder,,,,0.0,0.0,,,5307.115,,,,23.94,,,21.535,,,0.0,,2667.201,,,0.0,0.446,,0.444,,5307.115,,0.685,,,2720.394,,0.0,,,0.0,,,5250.916,,8.129,,,-53.1932,,,2937.692,,,,
23105,WORLD,2021,Agricultural sector,,,,,,,,,,,,,5283.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23106,WORLD,2021,Beef and veal,,,,0.0,0.0,,,70116.935,,207401.972,,1996.322,,,1173.757,,,0.0,,12061.636,,,0.0,2.614,,3.409,,70116.935,,6.266,,,11771.153,,0.0,,,0.0,,,70368.283,,37.969,,,290.4824,,,4287.94,,,0.043,
23107,WORLD,2021,Biodiesel,,,,,,,49113.153,,,,,,,2455.542,,,,,5954.563,,,,,,,,,,,,,6774.191,,,,,0.0,,,48272.17,,,,,-819.6281,,,88.533,,,,,
23108,WORLD,2021,Butter,,,,0.0,0.0,,,12053.294,,,,38.343,,,176.539,,,0.0,,1039.294,,,0.0,3.551,,0.029,,12052.461,,1.539,,,1039.294,,0.0,,,0.0,,,12051.833,,32.071,,,0.0,,,4036.623,,,,
23109,WORLD,2021,COTTON,31735.086,,,0.0,0.0,,,24759.111,,,,23.35,,,21999.414,,,0.0,,9521.107,,,0.0,0.0,,0.0,,,0.0,,0.0,,9521.107,,0.0,,,0.0,,,24924.715,,0.0,,,0.0,,,1647.225,,,,0.785
23110,WORLD,2021,Casein,,,,0.0,0.0,,,303.725,,,,1.617,,,0.0,,,0.0,,265.003,,0.0,,0.0,,0.0,,14.148,,0.002,,,27.092,,0.0,,,0.0,,,373.037,,0.0,,,226.1464,,,7658.953,,,,
23111,WORLD,2021,Cheese,,,,0.0,0.0,,,24657.917,,,,62.887,,,1207.34,,,0.0,,3375.777,,,0.0,2.217,,0.923,,24657.917,,3.148,,,3375.777,,0.0,,,0.0,,,24666.895,,24.067,,,0.0,,,3909.974,,,,
23112,WORLD,2021,Distiller's dry grains,,,0.0,,0.0,,,58248.993,,,,0.0,,,0.0,,0.0,,,12404.382,,58248.993,,0.0,,0.0,,,0.0,,0.0,,12404.382,,0.0,,,0.0,,,58248.993,,0.0,,,0.0,,,163.211,,,,
23113,WORLD,2021,EGGS,,,,0.0,,0.0,,,86742.951,,,,52.448,,,5.324,,0.0,,,3131.715,,0.0,,2.681,,2.961,,81492.915,,10.404,,,2220.394,,5250.036,,,0.0,,,87654.834,,38.094,,,911.3206,,,,,,
23114,WORLD,2021,Ethanol,,,,,,,124773.189,,,,,,,12191.007,,,,,11164.524,,,,,,,,,,,,,11514.524,,,,,0.0,,,124377.511,,,,,-350.0,,,42.441,,,,,
23115,WORLD,2021,Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.276,,,,
23116,WORLD,2021,Fish,,,,0.0,0.0,,,180075.098,,,16350.802,0.0,,,0.0,,,0.0,,41159.329,,0.0,,1.292,,5.804,,159681.796,,17.939,,,41280.329,,4042.5,,,0.0,,,180024.098,,34.943,,,-121.0,,,3033.303,,,,
23117,WORLD,2021,Fish from aquaculture,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,86281.652,,0.0,,,0.0,,,2966.943,,,,
23118,WORLD,2021,Fish from capture,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,93742.445,,0.0,,,0.0,,,1850.62,,,,
23119,WORLD,2021,Fish meal,,,,0.0,0.0,,,5586.151,,,,0.0,,,803.436,,,0.0,,3268.206,,5688.153,,0.0,,0.0,,0.0,,0.0,,,3359.206,,0.0,,,0.0,,,5416.587,,0.0,,,371.9659,,,1501.221,,,,
23120,WORLD,2021,Fish oil,,,,0.0,0.0,,,1163.793,,,,0.0,,,185.081,,,0.0,,932.63,,0.0,,0.0,,0.0,,0.0,,0.0,,,901.03,,0.0,,,0.0,,,1156.474,,0.0,,,25.5029,,,1852.128,,,,
23121,WORLD,2021,Fresh dairy products,,,,0.0,0.0,,,436410.574,,,,345.362,,,0.0,,,0.0,,391.073,,0.0,,4.707,,5.367,,436410.574,,55.713,,,104.147,,0.0,,,0.0,,,436995.12,,91.13,,,483.987,,,0.0,,,,
23122,WORLD,2021,High fructose corn syrup,,,0.0,,0.0,,,13381.611,,,,0.0,,,0.013,,0.0,,,1724.715,,0.0,,0.002,,0.011,,13280.904,,1.696,,,1519.75,,0.0,,,0.0,,,13587.976,,21.749,,,206.419,,,585.978,,,,
23123,WORLD,2021,Maize,194045.368,,,0.0,185704.905,,,1183284.358,,,,216.023,,,279828.316,,75302.216,,,187574.025,,696128.764,,1.493,,4.038,,148631.369,,18.974,,,184509.532,,110369.025,,,0.0,,,1183380.712,,164.263,,,3064.4935,,,188.139,,,,6.099
23124,WORLD,2021,Milk,,,,0.0,0.0,,,0.0,,727481.753,,524.338,,,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,872228.899,,0.0,,,0.0,,,,,,1.199,
23125,WORLD,2021,Molasses,,,0.0,,31951.9,,,67533.52,,,,0.0,,,13686.23,,8066.869,,,7185.768,,16623.155,,0.0,,0.0,,0.0,,0.0,,,8665.807,,18959.064,,,0.0,,,66476.757,,0.0,,,-1480.0391,,,161.651,,,,
23126,WORLD,2021,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.521,,,
23127,WORLD,2021,Other coarse grains,155441.297,,0.0,,4850.291,,,299391.805,,,,52.24,,,67392.962,,1224.571,,,46298.985,,165523.582,,0.704,,2.348,,82773.181,,10.567,,,40271.814,,46243.751,,,0.0,,,305419.884,,82.003,,,6027.1711,,,209.275,,,,1.965
23128,WORLD,2021,Other oilseeds,90573.447,,0.0,,0.0,,,159578.668,,,138383.311,35.406,,,7801.729,,0.0,,,21305.328,,1225.268,,2.622,,1.281,,16203.038,,2.069,,,21305.328,,3767.051,,,0.0,,,159369.753,,29.866,,,0.0,,,475.982,,,,1.76
23129,WORLD,2021,PULSES,,99372.845,,0.0,,0.0,,90884.197,,,,12.094,,,23080.893,,,0.0,,17704.946,,17292.463,,0.468,,4.508,,63708.966,,8.133,,,16468.845,,9882.768,,,0.0,,,92646.251,,71.737,,,1236.1013,,,,,186.977,,0.932
23130,WORLD,2021,Pigmeat,,,,0.0,0.0,,,112596.796,,,,173.074,,,867.015,,,0.0,,11285.926,,,0.0,9.566,,3.908,,112596.796,,11.212,,,11036.505,,0.0,,,0.0,,,112861.457,,102.721,,,249.424,,,2428.275,,,,
23131,WORLD,2021,Poultry meat,,,,0.0,0.0,,,,133345.583,,,90.695,,,979.819,,,0.0,,,14865.398,,0.0,4.406,,5.575,,133347.106,,14.98,,,13202.09,,0.0,,,0.0,,,135070.991,,63.714,,,1663.3084,,,1540.137,,,,
23132,WORLD,2021,Protein meals,,,0.0,,0.0,,,363071.736,,,,0.0,,,13745.834,,0.0,,,93458.554,,363071.736,,0.0,,0.0,,,0.0,,0.0,,93458.554,,0.0,,,0.0,,,363366.222,,0.0,,,0.0,,,391.007,,,,
23133,WORLD,2021,ROOTS AND TUBERS,63180.393,,,0.0,7635.194,,,247502.784,,,,17.208,,,10403.415,,,2958.468,,14026.424,,55522.836,,0.268,,2.279,,128799.77,,16.443,,,18398.698,,55544.985,,,0.0,,,242899.71,,144.658,,,-4372.2744,,,467.012,,,,3.845
23134,WORLD,2021,Raw sugar,,,0.0,,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,,37696.973,,0.0,,0.0,,0.0,,0.0,,0.0,,,36245.288,,0.0,,,0.0,,,0.0,,0.0,,,1451.6846,,,310.366,,,,
23135,WORLD,2021,Rice,164635.442,,0.0,,0.005,,,522733.95,,,,708.4,,,188245.754,,0.002,,,49263.96,,18390.555,,1.416,,9.933,,432026.529,,55.153,,,49263.96,,72316.861,,,0.0,,,525068.171,,529.234,,,0.0,,,513.356,,,,3.189
23136,WORLD,2021,Sheepmeat,,,,0.0,0.0,,,16196.094,,,,506.45,,,246.505,,,0.0,,1366.459,,,0.0,0.859,,0.736,,16196.094,,1.82,,,1400.157,,0.0,,,0.0,,,16166.306,,10.846,,,-33.6988,,,4714.104,,,,
23137,WORLD,2021,Skim milk powder,,,,0.0,0.0,,,4617.525,,,,18.141,,,346.05,,,0.0,,2610.486,,235.415,,0.01,,0.507,,4382.139,,0.559,,,2610.486,,0.0,,,0.0,,,4620.05,,5.038,,,0.0,,,2890.145,,,,
23138,WORLD,2021,Soybean,129205.672,,0.0,,0.0,,,370786.81,,,334084.748,36.641,,,38683.693,,0.0,,,161710.747,,3672.206,,0.629,,1.624,,19002.695,,2.426,,,161710.747,,14027.161,,,0.0,,,372859.29,,13.324,,,0.0,,,459.082,,,,2.886
23139,WORLD,2021,Sugar,,,0.0,,0.0,,,173528.087,,,,0.0,,,86888.958,,0.0,,,61647.709,,0.0,,0.002,,10.296,,173141.444,,22.103,,,58703.794,,386.643,,,0.0,,,176389.014,,203.107,,,2943.9155,,,,,,,
23140,WORLD,2021,Sugar beet,4724.901,,0.0,,11762.272,,,0.0,,,,4.113,,,0.0,,1173.963,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,285079.382,,0.0,,,0.0,,,0.0,,,,60.336
23141,WORLD,2021,Sugar cane,24424.944,,0.0,,364733.038,,,0.0,,,,23.736,,,0.0,,29367.442,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,1774304.45,,0.0,,,0.0,,,0.0,,,,72.643
23142,WORLD,2021,Total ,,,,,,,,,,,,,,,,,,,,,,,,,84.684,,93.388,,,,,,,,,,,,,,,,,2916.916,,,,,,,,,
23143,WORLD,2021,Vegetable oils,,,35719.634,,32529.408,,,218661.05,,,,0.0,,,19386.959,,0.0,,,88051.741,,0.0,,33.375,,0.028,,145631.525,,18.591,,,88051.741,,40540.009,,,0.0,,,219691.011,,300.484,,,0.0,,,899.245,,,,
23144,WORLD,2021,Wheat,223155.83,,0.0,,8574.934,,,765421.42,,,,178.456,,,295383.477,,3363.116,,,193236.244,,152258.829,,2.555,,16.36,,531554.225,,67.859,,,190875.486,,73033.432,,,0.0,,,776176.768,,539.874,,,2360.7582,,,234.428,,,,3.478
23145,WORLD,2021,Whey powder,,,,0.0,0.0,,,3105.326,,,,2.804,,,0.0,,,0.0,,2007.975,,1184.606,,0.0,,0.003,,31.949,,0.004,,,1689.225,,1065.922,,,0.0,,,3424.076,,0.038,,,318.75,,,908.693,,,,
23146,WORLD,2021,White sugar,,,0.0,,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,,23950.736,,0.0,,0.0,,0.0,,0.0,,0.0,,,22458.505,,0.0,,,0.0,,,0.0,,0.0,,,1492.2309,,,397.369,,,,
23147,WORLD,2021,Whole milk powder,,,,0.0,0.0,,,5380.881,,,,24.393,,,26.709,,,0.0,,2704.345,,,0.0,0.456,,0.454,,5380.881,,0.687,,,2704.345,,0.0,,,0.0,,,5379.055,,8.309,,,0.0,,,3093.367,,,,
