,country,year,commodity,biodiesel_production_from_commodity_nan_units,biofuel_use_tonnes_thousands,consumption_tonnes_thousands,consumption_nan_units,direct_ghg_emission_tonnes_of_co2_equivalent_millions,ending_stocks_tonnes_thousands,ethanol_production_from_commodity_nan_units,exports_tonnes_thousands,exports_nan_units,feed_nan_units,food_fat_availability_g_person_day_units,food_protein_availability_g_person_day_units,food_tonnes_thousands,human_consumption_per_capita_kilograms_per_capita_units,imports_tonnes_thousands,other_use_tonnes_thousands,producer_price_national_currency_per_tonne_units,production_tonnes_thousands,total_calorie_availability_kcal_person_day_units,trade_balance_tonnes_thousands,world_price_us_dollar_per_tonne_units
784,Pakistan,2018,Pigmeat,0.0,0.0,0.079,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.079,0.0,0.079,0.0,0.0,0.0,0.0,-0.079,
1004,Turkey,2020,Pigmeat,0.0,0.0,0.0,,0.0,0.425,0.0,18.645,,0.0,0.0,0.0,0.0,0.0,18.645,0.0,16394.827,0.0,0.0,0.0,
30,ASIA,2013,Pigmeat,0.0,0.0,69149.732,,76.326,267.394,0.0,485.001,,0.0,13.359,4.561,69149.732,12.488,3094.072,0.0,0.0,66538.39,140.18,-2609.0733,
101,BRICS,2012,Poultry meat,0.0,0.0,,35440.655,23.333,44.657,0.0,,4471.811,0.0,3.593,3.658,35440.655,10.239,1552.738,0.0,0.0,38360.283,47.797,2919.0726,
503,Japan,2021,Poultry meat,0.0,0.0,,2563.955,0.799,349.039,0.0,,11.571,0.0,4.144,7.568,2563.955,17.9,897.801,0.0,217.766,1676.761,69.638,-886.23,
715,Norway,2019,Poultry meat,0.0,0.0,,106.346,0.055,0.0,0.0,,1.226,0.0,3.923,8.504,106.346,17.399,4.119,0.0,23466.349,103.453,71.514,-2.8931,
416,Indonesia,2014,Pigmeat,0.0,0.0,305.137,,1.533,0.0,0.0,17.67,,0.0,2.427,0.783,305.137,0.933,3.014,0.0,27449294.109,319.793,25.333,14.6559,
469,Israel,2016,Poultry meat,0.0,0.0,,636.974,0.22,0.0,0.0,,4.942,0.0,12.684,27.499,636.974,69.125,1.786,0.0,5727.384,640.13,231.23,3.1556,
637,NORTH AMERICA,2016,Poultry meat,0.0,0.0,,19145.701,11.204,479.448,0.0,,3438.171,0.0,13.892,18.677,19145.701,46.879,281.743,0.0,0.0,22311.116,205.473,3156.428,
1099,Viet Nam,2019,Poultry meat,0.0,0.0,,1253.907,1.999,0.0,0.0,,39.15,0.0,4.393,5.706,1253.907,11.439,213.492,0.0,42292098.882,1079.566,64.146,-174.3415,
25,ASIA,2010,Poultry meat,0.0,0.0,,38586.177,38.26,333.406,0.0,,1516.255,0.0,2.634,3.027,38586.177,8.116,5389.058,0.0,0.0,34716.801,36.688,-3872.8059,
528,Korea,2010,Pigmeat,0.0,0.0,1544.08,,1.139,60.0,0.0,0.374,,0.0,11.85,8.56,1544.08,24.309,387.6,0.0,3200.0,1109.855,143.667,-387.2255,
33,ASIA,2014,Poultry meat,0.0,0.0,,43205.491,37.839,392.406,0.0,,2299.194,0.0,2.873,3.308,43205.491,8.713,5336.437,0.0,0.0,40166.246,40.082,-3037.2452,
72,Australia,2010,Pigmeat,0.0,0.0,488.209,,0.931,0.0,0.0,38.151,,0.0,8.983,5.233,488.209,17.188,184.259,0.0,2686.63,342.101,103.0,-146.108,
472,Israel,2018,Pigmeat,0.0,0.0,11.717,,0.05,0.0,0.0,1.606,,0.0,1.55,0.41,11.717,1.09,0.0,0.0,0.0,13.323,15.666,1.606,
983,Thailand,2021,Poultry meat,0.0,0.0,,561.43,0.888,39.247,0.0,,1194.441,0.0,2.717,3.796,561.43,7.063,3.422,0.0,41011.176,1748.696,40.787,1191.0186,
424,Indonesia,2018,Pigmeat,0.0,0.0,219.357,,1.702,0.0,0.0,15.42,,0.0,1.213,0.39,219.357,0.639,3.623,0.0,19879341.423,231.153,12.666,11.7962,
413,Indonesia,2012,Poultry meat,0.0,0.0,,1764.764,6.41,0.0,0.0,,3.31,0.0,1.517,2.313,1764.764,6.251,0.495,0.0,17675634.876,1767.579,23.667,2.8154,
449,Iran,2018,Poultry meat,0.0,0.0,,2194.127,4.291,0.0,0.0,,68.39,0.0,5.951,9.73,2194.127,23.604,4.6,0.0,1480.851,2257.917,95.245,63.79,
404,India,2020,Pigmeat,0.0,0.0,355.008,,1.384,0.0,0.0,0.872,,0.0,0.191,0.066,355.008,0.201,0.661,0.0,174273.233,355.219,1.985,0.211,
511,Kazakhstan,2013,Poultry meat,0.0,0.0,,304.356,0.095,0.0,0.0,,2.684,0.0,3.787,6.033,304.356,15.731,180.3,0.0,337515.618,126.74,60.0,-177.616,
896,Saudi Arabia,2014,Pigmeat,0.0,0.0,7.9,,0.0,0.0,0.0,2.023,,0.0,0.0,0.0,7.9,0.199,9.923,0.0,0.0,0.0,0.0,-7.9,
813,Paraguay,2020,Poultry meat,0.0,0.0,,72.482,0.061,0.0,0.0,,6.471,0.0,2.608,3.015,72.482,8.943,25.104,0.0,10317062.004,53.849,36.526,-18.633,
485,Japan,2012,Poultry meat,0.0,0.0,,2206.41,0.175,321.402,0.0,,7.05,0.0,3.75,6.773,2206.41,15.119,736.0,0.0,196.0,1459.46,62.667,-728.95,
104,BRICS,2014,Pigmeat,0.0,0.0,64246.225,,70.618,1.201,0.0,857.161,,0.0,16.779,5.714,64246.225,16.181,1261.885,0.0,0.0,63841.501,175.984,-404.7238,
818,Peru,2011,Pigmeat,0.0,0.0,121.795,,0.732,0.0,0.0,0.658,,0.0,1.85,1.3,121.795,3.246,4.211,0.0,5595.593,118.242,21.667,-3.5529,
982,Thailand,2021,Pigmeat,0.0,0.0,901.683,,1.651,0.0,0.0,310.407,,0.0,12.529,4.147,901.683,10.054,1.528,0.0,64044.219,1210.562,130.692,308.8792,
65,Argentina,2018,Poultry meat,0.0,0.0,,1889.75,0.369,0.0,0.0,,197.41,0.0,14.475,14.185,1889.75,37.487,18.0,0.0,31341.177,2069.16,192.066,179.41,
768,Pakistan,2010,Pigmeat,0.0,0.0,0.0,,0.0,0.0,0.0,0.019,,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,
178,Chile,2015,Pigmeat,0.0,0.0,401.292,,0.605,0.0,0.0,168.699,,0.0,15.42,6.907,401.292,17.419,46.054,0.0,880236.07,523.937,168.667,122.6453,
20,AFRICA,2020,Pigmeat,0.0,0.0,1878.411,,11.398,0.005,0.0,28.931,,0.0,1.372,0.441,1878.411,1.103,265.094,0.0,0.0,1642.242,14.29,-236.1692,
662,New Zealand,2017,Pigmeat,0.0,0.0,111.971,,0.099,0.0,0.0,0.823,,0.0,8.418,5.86,111.971,18.574,66.053,0.0,3443.116,46.741,101.0,-65.2298,
462,Israel,2013,Pigmeat,0.0,0.0,15.262,,0.052,0.0,0.0,1.008,,0.0,2.293,0.607,15.262,1.539,0.003,0.0,0.0,16.267,23.333,1.005,
862,Philippines,2021,Pigmeat,0.0,0.0,1365.231,,1.564,0.0,0.0,2.338,,0.0,13.124,4.362,1365.231,9.59,175.46,0.0,85708.927,1192.109,137.284,-173.1227,
688,Nigeria,2018,Pigmeat,0.0,0.0,301.798,,2.072,0.0,0.0,0.012,,0.0,1.193,0.473,301.798,1.202,3.49,0.0,635998.715,298.32,13.001,-3.478,
848,Philippines,2014,Pigmeat,0.0,0.0,1802.263,,2.352,0.0,0.0,2.399,,0.0,16.51,5.47,1802.263,13.986,113.986,0.0,104152.4,1690.676,172.667,-111.587,
787,Pakistan,2019,Poultry meat,0.0,0.0,,1518.862,1.691,0.0,0.0,,6.531,0.0,1.102,1.736,1518.862,6.172,0.958,0.0,178336.74,1524.435,17.361,5.5729,
648,New Zealand,2010,Pigmeat,0.0,0.0,82.973,,0.121,0.0,0.0,0.121,,0.0,6.677,4.85,82.973,14.81,36.428,0.0,3613.713,46.667,81.0,-36.3067,
709,Norway,2016,Poultry meat,0.0,0.0,,100.532,0.049,0.0,0.0,,1.031,0.0,3.851,8.344,100.532,16.848,3.247,0.0,21698.175,98.316,70.183,-2.216,
596,Malaysia,2020,Pigmeat,0.0,0.0,235.092,,0.323,0.0,0.0,4.435,,0.0,6.997,2.364,235.092,5.666,20.544,0.0,10017.133,218.983,73.546,-16.1093,
264,DEVELOPING COUNTRIES,2010,Pigmeat,0.0,0.0,69111.089,,102.211,61.712,0.0,1125.313,,0.0,10.421,3.542,69111.089,9.72,2539.955,0.0,0.0,67649.438,109.243,-1414.6518,
29,ASIA,2012,Poultry meat,0.0,0.0,,42307.507,37.654,454.406,0.0,,1919.936,0.0,2.791,3.219,42307.507,8.71,5631.537,0.0,0.0,38658.904,38.819,-3711.6037,
974,Thailand,2017,Pigmeat,0.0,0.0,917.701,,1.633,0.0,0.0,107.563,,0.0,12.667,4.193,917.701,10.343,0.85,0.0,73485.811,1024.415,132.402,106.7139,
239,Colombia,2021,Poultry meat,0.0,0.0,,1773.966,0.451,0.0,0.0,,0.81,0.0,8.385,10.437,1773.966,30.451,127.693,0.0,6543673.77,1647.083,120.527,-126.8832,
47,ASIA,2021,Poultry meat,0.0,0.0,,55975.691,49.123,388.291,0.0,,2852.49,0.0,3.287,3.791,55975.691,10.587,6464.763,0.0,0.0,52358.701,45.99,-3612.2733,
493,Japan,2016,Poultry meat,0.0,0.0,,2378.973,0.731,328.161,0.0,,9.0,0.0,3.789,6.827,2378.973,16.386,842.0,0.0,223.3,1544.732,63.285,-833.0,
422,Indonesia,2017,Pigmeat,0.0,0.0,318.288,,1.622,0.0,0.0,15.884,,0.0,1.237,0.4,318.288,0.938,0.933,0.0,20563744.45,333.239,13.001,14.9514,
358,Ethiopia,2021,Pigmeat,0.0,0.0,2.111,,0.01,0.0,0.0,0.047,,0.0,0.0,0.0,2.111,0.014,0.022,0.0,93260.285,2.137,0.0,0.0254,
223,Colombia,2013,Poultry meat,0.0,0.0,,1331.184,0.411,0.0,0.0,,4.144,0.0,6.027,7.61,1331.184,25.195,58.713,0.0,3874512.988,1276.615,87.0,-54.5693,
76,Australia,2012,Pigmeat,0.0,0.0,516.705,,0.869,0.0,0.0,34.316,,0.0,9.303,5.483,516.705,17.597,195.197,0.0,2624.11,355.824,107.0,-160.881,
1114,WORLD,2015,Pigmeat,0.0,0.0,118789.584,,179.052,859.313,0.0,8649.812,,0.0,10.997,4.397,118789.584,12.624,7941.595,0.0,0.0,119497.185,118.139,708.206,2481.547
136,Brazil,2018,Pigmeat,0.0,0.0,3411.131,,9.294,1.2,0.0,565.633,,0.0,9.751,3.589,3411.131,12.702,3.098,0.0,3769.398,3973.665,102.118,562.5348,
522,Kazakhstan,2019,Pigmeat,0.0,0.0,115.947,,0.092,0.425,0.0,1.253,,0.0,3.664,1.91,115.947,4.875,30.85,0.0,966496.806,86.351,41.182,-29.5965,
875,Russian Federation,2015,Poultry meat,0.0,0.0,,4292.065,1.388,26.657,0.0,,96.338,0.0,6.037,9.633,4292.065,26.051,283.333,0.0,93782.895,4079.07,95.667,-186.995,
366,European Union,2013,Pigmeat,0.0,0.0,18758.58,,34.902,0.0,0.0,3162.993,,0.0,18.173,11.487,18758.58,33.142,152.153,0.0,1674.408,21769.42,213.227,3010.8407,
674,Nigeria,2011,Pigmeat,0.0,0.0,243.544,,1.736,0.0,0.0,0.0,,0.0,1.17,0.467,243.544,1.167,0.544,0.0,452699.478,243.0,12.333,-0.544,
820,Peru,2012,Pigmeat,0.0,0.0,127.863,,0.67,0.0,0.0,0.536,,0.0,1.88,1.33,127.863,3.38,5.535,0.0,4940.577,122.864,22.333,-4.9988,
861,Philippines,2020,Poultry meat,0.0,0.0,,1585.699,0.478,0.0,0.0,,0.932,0.0,2.991,4.425,1585.699,12.734,323.818,0.0,78803.672,1262.813,45.93,-322.8861,
724,OCEANIA,2012,Pigmeat,0.0,0.0,707.2,,2.092,0.001,0.0,34.64,,0.0,8.632,4.678,707.2,14.804,242.971,0.0,0.0,498.868,97.679,-208.3318,
455,Iran,2021,Poultry meat,0.0,0.0,,2342.269,4.585,0.0,0.0,,23.812,0.0,6.127,10.017,2342.269,24.241,0.793,0.0,1557.345,2365.288,98.06,23.019,
568,LATIN AMERICA,2018,Pigmeat,0.0,0.0,8918.741,,21.39,1.203,0.0,999.259,,0.0,8.609,3.616,8918.741,10.861,1638.871,0.0,0.0,8279.127,92.806,-639.6139,
73,Australia,2010,Poultry meat,0.0,0.0,,947.731,0.307,0.0,0.0,,29.601,0.0,10.983,13.393,947.731,37.645,0.0,0.0,1972.64,977.332,156.667,29.601,
880,Russian Federation,2018,Pigmeat,0.0,0.0,3792.011,,4.453,0.0,0.0,65.141,,0.0,9.51,7.053,3792.011,20.296,112.984,0.0,150883.333,3744.168,116.006,-47.8433,
221,Colombia,2012,Poultry meat,0.0,0.0,,1169.7,0.501,0.0,0.0,,3.55,0.0,5.723,7.283,1169.7,22.34,59.043,0.0,3598154.297,1114.207,83.0,-55.493,
907,Saudi Arabia,2019,Poultry meat,0.0,0.0,,1371.007,0.839,0.0,0.0,,51.625,0.0,8.025,13.417,1371.007,35.207,618.134,0.0,6827.966,804.498,129.672,-566.509,
547,Korea,2019,Poultry meat,0.0,0.0,,1071.824,0.459,0.0,0.0,,52.469,0.0,4.293,5.789,1071.824,18.413,206.378,0.0,1464.515,917.915,63.572,-153.909,
801,Paraguay,2014,Poultry meat,0.0,0.0,,60.285,0.045,0.0,0.0,,0.0,0.0,1.893,2.16,60.285,8.039,22.531,0.0,9467389.729,37.754,26.333,-22.5309,
544,Korea,2018,Pigmeat,0.0,0.0,2008.106,,1.306,180.0,0.0,1.598,,0.0,13.89,10.049,2008.106,30.609,760.902,0.0,2929.471,1328.803,168.674,-759.3034,
795,Paraguay,2011,Poultry meat,0.0,0.0,,40.666,0.043,0.0,0.0,,0.838,0.0,1.543,1.747,40.666,5.65,22.811,0.0,9328640.387,18.693,21.667,-21.9732,
665,New Zealand,2018,Poultry meat,0.0,0.0,,213.546,0.082,0.0,0.0,,22.616,0.0,7.271,9.161,213.546,39.619,0.834,0.0,2444.656,235.327,104.981,21.7817,
208,China,2018,Pigmeat,0.0,0.0,55382.427,,51.897,0.0,0.0,208.286,,0.0,35.133,11.494,55382.427,30.258,1448.12,0.0,13858.319,54142.593,364.333,-1239.8337,
193,China,2010,Poultry meat,0.0,0.0,,16754.617,17.76,0.0,0.0,,359.367,0.0,4.603,4.09,16754.617,10.771,545.675,0.0,9725.932,16568.309,59.0,-186.3083,
1105,WORLD,2010,Poultry meat,0.0,0.0,,99373.384,75.113,812.977,0.0,,11479.51,0.0,3.706,4.739,99373.384,12.64,11082.973,0.0,0.0,99804.484,53.646,396.5266,1671.039
516,Kazakhstan,2016,Pigmeat,0.0,0.0,121.05,,0.096,0.425,0.0,1.322,,0.0,4.2,2.187,121.05,5.295,28.506,0.0,819503.025,93.866,47.333,-27.1841,
277,DEVELOPING COUNTRIES,2016,Poultry meat,0.0,0.0,,71731.485,60.337,80.012,0.0,,6931.611,0.0,3.296,3.723,71731.485,10.5,8191.145,0.0,0.0,70467.943,45.791,-1259.5423,
999,Turkey,2017,Poultry meat,0.0,0.0,,1761.193,1.019,0.0,0.0,,550.162,0.0,4.433,6.959,1761.193,19.107,57.946,0.0,5205.573,2253.409,69.745,492.2157,
419,Indonesia,2015,Poultry meat,0.0,0.0,,2065.602,7.952,0.0,0.0,,3.393,0.0,1.65,2.503,2065.602,7.035,3.257,0.0,21472293.078,2065.738,25.667,0.136,
549,Korea,2020,Poultry meat,0.0,0.0,,1070.8,0.468,0.0,0.0,,55.203,0.0,4.392,5.922,1070.8,18.38,189.921,0.0,1385.156,936.082,65.032,-134.7184,
660,New Zealand,2016,Pigmeat,0.0,0.0,104.242,,0.092,0.0,0.0,0.261,,0.0,8.164,5.69,104.242,17.451,60.657,0.0,4032.429,43.846,98.0,-60.3956,
363,European Union,2011,Poultry meat,0.0,0.0,,9886.05,4.868,0.0,0.0,,1820.058,0.0,4.489,8.208,9886.05,19.764,882.276,0.0,2017.861,10823.832,75.346,937.7826,
935,South Africa,2021,Poultry meat,0.0,0.0,,2450.868,0.719,0.0,0.0,,66.292,0.0,10.201,15.564,2450.868,35.921,479.619,0.0,28184.971,2037.542,158.608,-413.3264,
58,Argentina,2015,Pigmeat,0.0,0.0,478.822,,1.124,0.0,0.0,8.316,,0.0,7.627,3.313,478.822,8.67,12.234,0.0,17587.059,474.905,83.0,-3.9175,
765,OECD countries,2020,Poultry meat,0.0,0.0,,49403.009,23.643,846.89,0.0,,7441.403,0.0,8.397,12.267,49403.009,31.143,4031.786,0.0,0.0,52771.18,128.28,3409.6168,
97,BRICS,2010,Poultry meat,0.0,0.0,,32392.673,25.876,41.844,0.0,,4282.447,0.0,3.395,3.467,32392.673,9.523,1541.711,0.0,0.0,35134.247,45.392,2740.736,
1066,United States,2015,Pigmeat,0.0,0.0,9340.839,,21.701,267.62,0.0,2276.278,,0.0,9.7,7.183,9340.839,22.706,679.627,0.0,1538.029,10951.098,118.333,1596.6513,
996,Turkey,2016,Pigmeat,0.0,0.0,0.0,,0.0,0.425,0.0,7.076,,0.0,0.0,0.0,0.0,0.0,7.076,0.0,6433.247,0.0,0.0,0.0,
456,Israel,2010,Pigmeat,0.0,0.0,18.696,,0.065,0.0,0.0,0.173,,0.0,2.577,0.68,18.696,1.985,0.001,0.0,0.0,18.867,26.333,0.1714,
198,China,2013,Pigmeat,0.0,0.0,55483.013,,56.307,0.0,0.0,293.846,,0.0,34.283,11.27,55483.013,31.092,720.243,0.0,16043.606,55056.616,357.667,-426.3968,
877,Russian Federation,2016,Poultry meat,0.0,0.0,,4338.74,1.639,21.657,0.0,,142.464,0.0,6.199,9.906,4338.74,26.282,247.168,0.0,95190.79,4229.036,98.251,-104.7036,
551,Korea,2021,Poultry meat,0.0,0.0,,1082.863,0.472,0.0,0.0,,51.469,0.0,4.456,6.008,1082.863,18.574,197.499,0.0,1459.246,936.833,65.98,-146.0299,
89,Australia,2018,Poultry meat,0.0,0.0,,1226.365,0.35,0.0,0.0,,43.849,0.0,14.106,17.333,1226.365,43.345,0.0,0.0,2169.33,1270.214,201.829,43.8491,
400,India,2018,Pigmeat,0.0,0.0,375.818,,1.464,0.0,0.0,1.299,,0.0,0.201,0.07,375.818,0.217,1.067,0.0,136959.592,376.05,2.089,0.2323,
1001,Turkey,2018,Poultry meat,0.0,0.0,,1732.628,1.179,0.0,0.0,,622.256,0.0,4.538,7.047,1732.628,18.517,55.343,0.0,6482.139,2299.541,71.067,566.9132,
915,South Africa,2011,Poultry meat,0.0,0.0,,1752.571,0.716,0.0,0.0,,93.687,0.0,8.57,13.077,1752.571,29.657,353.732,0.0,16133.507,1492.527,133.0,-260.0446,
777,Pakistan,2014,Poultry meat,0.0,0.0,,989.93,1.286,0.0,0.0,,7.598,0.0,1.017,1.6,989.93,4.46,3.679,0.0,193624.342,993.848,16.0,3.9184,
41,ASIA,2018,Poultry meat,0.0,0.0,,50705.843,45.422,424.735,0.0,,2798.616,0.0,2.895,3.415,50705.843,9.842,5886.816,0.0,0.0,47585.418,40.83,-3088.2018,
56,Argentina,2014,Pigmeat,0.0,0.0,443.184,,1.052,0.0,0.0,7.568,,0.0,6.947,3.04,443.184,8.108,8.93,0.0,15071.332,441.822,75.667,-1.362,
314,Egypt,2011,Pigmeat,0.0,0.0,0.83,,0.003,0.0,0.0,0.052,,0.0,0.012,0.005,0.83,0.008,0.404,0.0,19257.833,0.478,0.116,-0.3522,
919,South Africa,2013,Poultry meat,0.0,0.0,,2010.843,0.538,0.0,0.0,,64.266,0.0,9.313,14.21,2010.843,32.96,392.191,0.0,21410.577,1682.919,144.667,-327.9245,
1051,United Kingdom,2019,Poultry meat,0.0,0.0,,2015.234,0.553,0.0,0.0,,363.656,0.0,6.718,13.716,2015.234,26.261,562.531,0.0,1420.029,1816.359,118.93,-198.8752,
