,dayonfeed,bodyweight_g,dailygain_g,dailyfeedintake_g,cmlfeedintake_g,adg,fcr
0,0.0,42.0,,,,,
1,1.0,63.0,,,,,
2,2.0,74.0,,,,,
3,3.0,90.0,,,,,
4,4.0,109.0,,,,,
5,5.0,134.0,,,,,
6,6.0,163.0,,,,,
7,7.0,193.0,30.0,,145.0,28.0,0.76
8,8.0,228.0,36.0,37.0,182.0,29.0,0.8
9,9.0,269.0,41.0,43.0,225.0,30.0,0.84
10,10.0,313.0,44.0,50.0,275.0,31.0,0.88
11,11.0,362.0,48.0,57.0,331.0,33.0,0.92
12,12.0,414.0,52.0,64.0,395.0,34.0,0.95
13,13.0,469.0,55.0,72.0,467.0,36.0,1.0
14,14.0,528.0,59.0,74.0,541.0,38.0,1.03
15,15.0,589.0,62.0,78.0,619.0,39.0,1.05
16,16.0,654.0,65.0,85.0,704.0,41.0,1.08
17,17.0,722.0,68.0,91.0,795.0,42.0,1.1
18,18.0,792.0,70.0,103.0,898.0,44.0,1.13
19,19.0,865.0,73.0,110.0,1007.0,46.0,1.16
20,20.0,941.0,75.0,114.0,1121.0,47.0,1.19
21,21.0,1018.0,78.0,118.0,1239.0,48.0,1.22
22,22.0,1098.0,80.0,123.0,1362.0,50.0,1.24
23,23.0,1180.0,82.0,128.0,1489.0,51.0,1.26
24,24.0,1264.0,84.0,133.0,1622.0,53.0,1.28
25,25.0,1349.0,85.0,137.0,1759.0,54.0,1.3
26,26.0,1436.0,87.0,144.0,1903.0,55.0,1.33
27,27.0,1525.0,89.0,150.0,2054.0,56.0,1.35
28,28.0,1615.0,90.0,156.0,2209.0,58.0,1.37
29,29.0,1706.0,91.0,160.0,2369.0,59.0,1.39
30,30.0,1798.0,92.0,164.0,2533.0,60.0,1.41
31,31.0,1892.0,93.0,167.0,2700.0,61.0,1.43
32,32.0,1986.0,94.0,170.0,2870.0,62.0,1.45
33,33.0,2081.0,95.0,174.0,3043.0,63.0,1.46
34,34.0,2177.0,96.0,177.0,3220.0,64.0,1.48
35,35.0,2273.0,96.0,179.0,3399.0,65.0,1.5
36,36.0,2369.0,97.0,182.0,3581.0,66.0,1.51
37,37.0,2466.0,97.0,186.0,3767.0,67.0,1.53
38,38.0,2563.0,97.0,190.0,3958.0,67.0,1.54
39,39.0,2661.0,97.0,193.0,4151.0,68.0,1.56
40,40.0,2758.0,97.0,197.0,4348.0,69.0,1.58
41,41.0,2855.0,97.0,203.0,4552.0,70.0,1.59
42,42.0,2952.0,97.0,208.0,4760.0,70.0,1.61
43,43.0,3049.0,97.0,213.0,4973.0,71.0,1.63
44,44.0,3145.0,96.0,218.0,5191.0,71.0,1.65
45,45.0,3240.0,95.0,224.0,5414.0,72.0,1.67
46,46.0,3335.0,95.0,228.0,5642.0,73.0,1.69
47,47.0,3430.0,95.0,231.0,5873.0,73.0,1.71
48,48.0,3524.0,94.0,236.0,6109.0,73.0,1.73
49,49.0,3617.0,93.0,241.0,6349.0,74.0,1.76
14,14.0,528.0,59.0,74.0,541.0,38.0,1.03
15,15.0,589.0,62.0,78.0,619.0,39.0,1.05
16,16.0,654.0,65.0,85.0,704.0,41.0,1.08
17,17.0,722.0,68.0,91.0,795.0,42.0,1.1
18,18.0,792.0,70.0,103.0,898.0,44.0,1.13
19,19.0,865.0,73.0,110.0,1007.0,46.0,1.16
20,20.0,941.0,75.0,114.0,1121.0,47.0,1.19
21,21.0,1018.0,78.0,118.0,1239.0,48.0,1.22
22,22.0,1098.0,80.0,123.0,1362.0,50.0,1.24
23,23.0,1180.0,82.0,128.0,1489.0,51.0,1.26
24,24.0,1264.0,84.0,133.0,1622.0,53.0,1.28
25,25.0,1349.0,85.0,137.0,1759.0,54.0,1.3
26,26.0,1436.0,87.0,144.0,1903.0,55.0,1.33
27,27.0,1525.0,89.0,150.0,2054.0,56.0,1.35
28,28.0,1615.0,90.0,156.0,2209.0,58.0,1.37
29,29.0,1706.0,91.0,160.0,2369.0,59.0,1.39
30,30.0,1798.0,92.0,164.0,2533.0,60.0,1.41
31,31.0,1892.0,93.0,167.0,2700.0,61.0,1.43
32,32.0,1986.0,94.0,170.0,2870.0,62.0,1.45
33,33.0,2081.0,95.0,174.0,3043.0,63.0,1.46
34,34.0,2177.0,96.0,177.0,3220.0,64.0,1.48
35,35.0,2273.0,96.0,179.0,3399.0,65.0,1.5
36,36.0,2369.0,97.0,182.0,3581.0,66.0,1.51
37,37.0,2466.0,97.0,186.0,3767.0,67.0,1.53
38,38.0,2563.0,97.0,190.0,3958.0,67.0,1.54
39,39.0,2661.0,97.0,193.0,4151.0,68.0,1.56
40,40.0,2758.0,97.0,197.0,4348.0,69.0,1.58
41,41.0,2855.0,97.0,203.0,4552.0,70.0,1.59
42,42.0,2952.0,97.0,208.0,4760.0,70.0,1.61
43,43.0,3049.0,97.0,213.0,4973.0,71.0,1.63
44,44.0,3145.0,96.0,218.0,5191.0,71.0,1.65
45,45.0,3240.0,95.0,224.0,5414.0,72.0,1.67
46,46.0,3335.0,95.0,228.0,5642.0,73.0,1.69
47,47.0,3430.0,95.0,231.0,5873.0,73.0,1.71
48,48.0,3524.0,94.0,236.0,6109.0,73.0,1.73
49,49.0,3617.0,93.0,241.0,6349.0,74.0,1.76
50,50.0,3707.0,91.0,243.0,6592.0,74.0,1.78
51,51.0,3797.0,90.0,244.0,6835.0,74.0,1.8
52,52.0,3885.0,88.0,245.0,7080.0,75.0,1.82
53,53.0,3973.0,87.0,247.0,7326.0,75.0,1.84
54,54.0,4059.0,86.0,247.0,7573.0,75.0,1.87
55,55.0,4144.0,85.0,246.0,7819.0,75.0,1.89
56,56.0,4227.0,83.0,245.0,8063.0,75.0,1.91
57,57.0,4309.0,82.0,243.0,8306.0,76.0,1.93
58,58.0,4389.0,80.0,241.0,8547.0,76.0,1.95
59,59.0,4466.0,77.0,239.0,8786.0,76.0,1.97
60,60.0,4542.0,76.0,237.0,9022.0,76.0,1.99
61,61.0,4616.0,74.0,234.0,9256.0,76.0,2.01
62,62.0,4688.0,73.0,232.0,9488.0,76.0,2.02
63,63.0,4759.0,70.0,228.0,9716.0,76.0,2.04
